Tag URL,line1,line2
https://www.rekhta.org/tags/aadmi-shayari/couplets,rah mein baiTha hun main tum sang-e-rah samjho mujhe,aadmi ban jaunga kuchh Thokaren khane ke baad
https://www.rekhta.org/tags/aadmi-shayari/couplets,jānvar aadmī farishta ḳhudā,aadmī kī haiñ saikaḌoñ qismeñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,jaanwar aadmi farishta KHuda,aadmi ki hain saikaDon qismen
https://www.rekhta.org/tags/aadmi-shayari/couplets,bhiiḌ tanhā.iyoñ kā melā hai,aadmī aadmī akelā hai
https://www.rekhta.org/tags/aadmi-shayari/couplets,bhiD tanhaiyon ka mela hai,aadmi aadmi akela hai
https://www.rekhta.org/tags/aadmi-shayari/couplets,hazār chehre haiñ maujūd aadmī ġhā.eb,ye kis ḳharābe meñ duniyā ne lā ke chhoḌ diyā
https://www.rekhta.org/tags/aadmi-shayari/couplets,hazar chehre hain maujud aadmi ghaeb,ye kis KHarabe mein duniya ne la ke chhoD diya
https://www.rekhta.org/tags/aadmi-shayari/couplets,maiñ tire dar kā bhikārī tū mire dar kā faqīr,aadmī is daur meñ ḳhuddār ho saktā nahīñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,main tere dar ka bhikari tu mere dar ka faqir,aadmi is daur mein KHuddar ho sakta nahin
https://www.rekhta.org/tags/aadmi-shayari/couplets,maiñ aadmī huuñ koī farishta nahīñ huzūr,maiñ aaj apnī zaat se ghabrā ke pī gayā
https://www.rekhta.org/tags/aadmi-shayari/couplets,main aadmi hun koi farishta nahin huzur,main aaj apni zat se ghabra ke pi gaya
https://www.rekhta.org/tags/aadmi-shayari/couplets,farishta hai to taqaddus tujhe mubārak ho,ham aadmī haiñ to aib-o-hunar bhī rakhte haiñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,farishta hai to taqaddus tujhe mubarak ho,hum aadmi hain to aib-o-hunar bhi rakhte hain
https://www.rekhta.org/tags/aadmi-shayari/couplets,zindagī se zindagī rūThī rahī,aadmī se aadmī barham rahā
https://www.rekhta.org/tags/aadmi-shayari/couplets,zindagi se zindagi ruThi rahi,aadmi se aadmi barham raha
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmī kā aadmī har haal meñ hamdard ho,ik tavajjoh chāhiye insāñ ko insāñ kī taraf
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmi ka aadmi har haal mein hamdard ho,ek tawajjoh chahiye insan ko insan ki taraf
https://www.rekhta.org/tags/aadmi-shayari/couplets,maiñ āḳhir aadmī huuñ koī laġhzish ho hī jaatī hai,magar ik vasf hai mujh meñ dil-āzārī nahīñ kartā
https://www.rekhta.org/tags/aadmi-shayari/couplets,main aaKHir aadmi hun koi laghzish ho hi jati hai,magar ek wasf hai mujh mein dil-azari nahin karta
https://www.rekhta.org/tags/aadmi-shayari/couplets,na jaane bāhar bhī kitne aaseb muntazir hoñ,abhī maiñ andar ke aadmī se Darā huā huuñ
